<<<<<<< HEAD:Resources/multiTimeline.csv
Category: All categories,,,
,,,
Week,yeti tumbler: (United States),stanley tumbler: (United States),hydroflask: (United States)
9/15/2019,6,0,38
9/22/2019,6,0,36
9/29/2019,6,0,33
10/6/2019,6,0,32
10/13/2019,6,0,28
10/20/2019,7,0,26
10/27/2019,7,0,25
11/3/2019,8,0,25
11/10/2019,9,0,25
11/17/2019,10,0,26
11/24/2019,13,0,39
12/1/2019,15,0,37
12/8/2019,20,0,31
12/15/2019,21,0,32
12/22/2019,15,0,30
12/29/2019,9,0,19
1/5/2020,8,0,21
1/12/2020,7,0,19
1/19/2020,6,<1,17
1/26/2020,6,0,16
2/2/2020,6,0,16
2/9/2020,6,0,16
2/16/2020,6,0,14
2/23/2020,6,<1,14
3/1/2020,5,0,14
3/8/2020,5,0,11
3/15/2020,3,0,8
3/22/2020,3,0,8
3/29/2020,4,0,10
4/5/2020,4,0,9
4/12/2020,5,0,10
4/19/2020,6,0,10
4/26/2020,7,0,11
5/3/2020,8,0,12
5/10/2020,8,0,12
5/17/2020,8,0,13
5/24/2020,8,<1,13
5/31/2020,8,0,13
6/7/2020,10,0,14
6/14/2020,11,0,14
6/21/2020,10,0,15
6/28/2020,9,<1,15
7/5/2020,10,0,15
7/12/2020,8,<1,16
7/19/2020,8,0,16
7/26/2020,8,<1,16
8/2/2020,9,0,16
8/9/2020,8,<1,15
8/16/2020,7,0,14
8/23/2020,6,<1,15
8/30/2020,7,0,13
9/6/2020,6,0,12
9/13/2020,6,0,12
9/20/2020,6,<1,11
9/27/2020,6,0,9
10/4/2020,6,0,9
10/11/2020,7,<1,10
10/18/2020,6,0,8
10/25/2020,6,<1,7
11/1/2020,5,0,6
11/8/2020,9,<1,9
11/15/2020,10,<1,11
11/22/2020,13,<1,17
11/29/2020,16,<1,17
12/6/2020,20,<1,16
12/13/2020,19,<1,14
12/20/2020,16,<1,13
12/27/2020,10,<1,10
1/3/2021,8,<1,10
1/10/2021,7,0,9
1/17/2021,6,<1,9
1/24/2021,6,0,9
1/31/2021,6,0,9
2/7/2021,6,0,8
2/14/2021,6,<1,8
2/21/2021,6,0,8
2/28/2021,6,<1,9
3/7/2021,6,<1,8
3/14/2021,5,0,9
3/21/2021,5,0,9
3/28/2021,5,0,9
4/4/2021,5,<1,9
4/11/2021,6,0,9
4/18/2021,6,<1,9
4/25/2021,7,<1,10
5/2/2021,7,0,10
5/9/2021,6,<1,10
5/16/2021,6,0,11
5/23/2021,7,<1,13
5/30/2021,7,0,13
6/6/2021,8,1,13
6/13/2021,9,<1,15
6/20/2021,8,1,14
6/27/2021,7,<1,14
7/4/2021,7,1,14
7/11/2021,7,<1,15
7/18/2021,7,<1,15
7/25/2021,7,1,18
8/1/2021,7,1,20
8/8/2021,7,<1,20
8/15/2021,7,<1,20
8/22/2021,6,<1,19
8/29/2021,6,<1,16
9/5/2021,6,<1,16
9/12/2021,6,<1,16
9/19/2021,6,<1,14
9/26/2021,6,<1,14
10/3/2021,6,<1,13
10/10/2021,6,1,12
10/17/2021,6,1,13
10/24/2021,6,1,12
10/31/2021,7,<1,13
11/7/2021,8,1,16
11/14/2021,9,1,18
11/21/2021,11,1,29
11/28/2021,15,2,28
12/5/2021,15,2,24
12/12/2021,16,1,22
12/19/2021,14,2,19
12/26/2021,10,2,16
1/2/2022,7,1,18
1/9/2022,6,3,16
1/16/2022,6,2,15
1/23/2022,6,2,15
1/30/2022,6,1,15
2/6/2022,6,2,15
2/13/2022,5,1,14
2/20/2022,6,2,14
2/27/2022,6,5,15
3/6/2022,5,4,14
3/13/2022,6,6,15
3/20/2022,6,9,14
3/27/2022,5,5,15
4/3/2022,6,6,16
4/10/2022,5,5,16
4/17/2022,6,9,16
4/24/2022,7,7,16
5/1/2022,7,8,16
5/8/2022,7,7,15
5/15/2022,6,8,16
5/22/2022,6,9,17
5/29/2022,8,13,18
6/5/2022,8,7,17
6/12/2022,8,8,19
6/19/2022,8,7,18
6/26/2022,7,6,19
7/3/2022,7,7,18
7/10/2022,8,12,23
7/17/2022,7,7,26
7/24/2022,7,7,24
7/31/2022,7,6,26
8/7/2022,7,7,26
8/14/2022,7,12,25
8/21/2022,6,9,23
8/28/2022,7,9,22
9/4/2022,6,7,22
9/11/2022,6,12,20
9/18/2022,6,7,18
9/25/2022,5,8,25
10/2/2022,6,8,24
10/9/2022,6,8,21
10/16/2022,6,7,19
10/23/2022,6,6,17
10/30/2022,6,7,17
11/6/2022,8,6,20
11/13/2022,8,8,23
11/20/2022,11,17,35
11/27/2022,12,18,31
12/4/2022,14,17,26
12/11/2022,16,21,25
12/18/2022,14,31,23
12/25/2022,10,51,22
1/1/2023,8,51,19
1/8/2023,8,48,20
1/15/2023,7,37,18
1/22/2023,6,37,18
1/29/2023,7,36,18
2/5/2023,7,35,22
2/12/2023,6,28,20
2/19/2023,7,22,18
2/26/2023,6,21,18
3/5/2023,6,23,16
3/12/2023,6,30,16
3/19/2023,6,25,15
3/26/2023,6,25,16
4/2/2023,6,25,14
4/9/2023,6,25,16
4/16/2023,7,19,16
4/23/2023,6,24,16
4/30/2023,6,21,15
5/7/2023,7,26,15
5/14/2023,6,21,17
5/21/2023,7,17,19
5/28/2023,6,16,20
6/4/2023,7,17,16
6/11/2023,7,17,15
6/18/2023,7,18,32
6/25/2023,7,15,27
7/2/2023,7,16,22
7/9/2023,8,17,24
7/16/2023,7,13,23
7/23/2023,7,15,27
7/30/2023,7,16,24
8/6/2023,7,16,25
8/13/2023,6,16,26
8/20/2023,7,15,22
8/27/2023,6,15,22
9/3/2023,6,14,19
9/10/2023,7,13,17
9/17/2023,6,13,17
9/24/2023,6,12,15
10/1/2023,6,12,15
10/8/2023,6,13,18
10/15/2023,6,13,16
10/22/2023,6,16,14
10/29/2023,5,15,14
11/5/2023,7,19,16
11/12/2023,8,27,18
11/19/2023,12,59,33
11/26/2023,12,53,25
12/3/2023,14,52,23
12/10/2023,17,55,23
12/17/2023,17,61,22
12/24/2023,12,59,21
12/31/2023,15,100,22
1/7/2024,13,81,22
1/14/2024,9,47,19
1/21/2024,9,43,21
1/28/2024,8,30,25
2/4/2024,7,29,21
2/11/2024,6,23,16
2/18/2024,7,22,16
2/25/2024,6,20,16
3/3/2024,6,17,15
3/10/2024,5,15,14
3/17/2024,5,16,15
3/24/2024,6,19,14
3/31/2024,6,16,13
4/7/2024,6,16,13
4/14/2024,6,15,14
4/21/2024,5,13,15
4/28/2024,5,14,14
5/5/2024,6,16,14
5/12/2024,6,13,14
5/19/2024,6,13,16
5/26/2024,6,12,15
6/2/2024,7,12,16
6/9/2024,7,14,16
6/16/2024,8,12,15
6/23/2024,7,12,17
6/30/2024,6,11,17
7/7/2024,6,10,18
7/14/2024,7,9,19
7/21/2024,6,10,17
7/28/2024,7,11,19
8/4/2024,6,13,19
8/11/2024,6,13,19
8/18/2024,6,10,18
8/25/2024,6,10,17
9/1/2024,6,10,16
9/8/2024,6,9,14
9/15/2024,6,9,15
=======
﻿Week,yeti tumbler: (United States),stanley tumbler: (United States),hydroflask: (United States)
2019-09-15,6,0,38
